"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "YAML", "JavaScript", "XML", "Prisma", "TypeScript JSX", "CSS", "Handlebars", "HTML", "comment", "blank", "total"
"/Users/admin/Desktop/farquest/apps/demo/src/app/api/get-all-quest-types/route.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/admin/Desktop/farquest/apps/demo/src/app/api/get-all-quests/route.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/admin/Desktop/farquest/apps/demo/src/app/api/get-all-required-fields/route.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/admin/Desktop/farquest/apps/demo/src/app/api/get-quest-by-id/route.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"/Users/admin/Desktop/farquest/apps/demo/src/app/api/siwe/route.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 65
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/buttons/GeneralButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/buttons/PrimaryButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/filters/FilterBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/input/Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 4, 72
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/input/MediaInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 1, 12, 182
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/input/MultiInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 7, 159
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/input/Select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 3, 88
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/input/Toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/menu/Menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 4, 57
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/modal/delete-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 3, 63
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/modal/modal-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 9, 91
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/modal/quests-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 482, 0, 0, 0, 5, 27, 514
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/sidebar/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 51
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/sidebar/SidebarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/tables/delete-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/tables/edit-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/tables/quests-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/admin/tables/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 11, 88
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/client/navbar/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 2, 30
"/Users/admin/Desktop/farquest/apps/demo/src/app/components/shared/general/RenderIfReady.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"/Users/admin/Desktop/farquest/apps/demo/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"/Users/admin/Desktop/farquest/apps/demo/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"/Users/admin/Desktop/farquest/apps/demo/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/Users/admin/Desktop/farquest/apps/demo/src/app/providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"/Users/admin/Desktop/farquest/apps/demo/src/constants/admin-routes.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/admin/Desktop/farquest/apps/demo/src/constants/base-url.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/admin/Desktop/farquest/apps/demo/src/constants/country-codes.ts", "TypeScript", 0, 0, 1212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1213
"/Users/admin/Desktop/farquest/apps/demo/src/constants/fetcher.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/admin/Desktop/farquest/apps/demo/src/constants/is-testnet.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Desktop/farquest/apps/demo/src/constants/max-age.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/admin/Desktop/farquest/apps/demo/src/constants/routes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/admin/Desktop/farquest/apps/demo/src/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 25
"/Users/admin/Desktop/farquest/apps/demo/src/contexts/admin-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 10, 47
"/Users/admin/Desktop/farquest/apps/demo/src/contexts/app-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/admin/Desktop/farquest/apps/demo/src/contexts/wallet-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 6, 7, 53
"/Users/admin/Desktop/farquest/apps/demo/src/hooks/admin/useQuestTypeById.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"/Users/admin/Desktop/farquest/apps/demo/src/hooks/admin/useQuestTypes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"/Users/admin/Desktop/farquest/apps/demo/src/hooks/admin/useQuests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"/Users/admin/Desktop/farquest/apps/demo/src/hooks/client/useIsSSR.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"/Users/admin/Desktop/farquest/apps/demo/src/lib/api.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/admin/Desktop/farquest/apps/demo/src/lib/prisma.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/Users/admin/Desktop/farquest/apps/demo/src/lib/queries.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 33
"/Users/admin/Desktop/farquest/apps/demo/src/lib/session.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"/Users/admin/Desktop/farquest/apps/demo/src/schemas/quest-schema.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/admin/Desktop/farquest/apps/demo/src/utils/formatter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 4, 26
"/Users/admin/Desktop/farquest/apps/demo/src/utils/siwe-config.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/admin/Desktop/farquest/apps/demo/src/utils/tap.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/admin/Desktop/farquest/apps/demo/src/utils/types.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 55
"/Users/admin/Desktop/farquest/apps/demo/src/utils/upload-image.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/admin/Desktop/farquest/apps/demo/src/utils/wagmi-config.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 22
"/Users/admin/Desktop/farquest/apps/demo/tailwind.config.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/admin/Desktop/farquest/apps/demo/todo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 16
"/Users/admin/Desktop/farquest/apps/demo/tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/admin/Desktop/farquest/apps/react-auth/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/admin/Desktop/farquest/apps/react-auth/README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/Users/admin/Desktop/farquest/apps/react-auth/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"/Users/admin/Desktop/farquest/apps/react-auth/package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/admin/Desktop/farquest/apps/react-auth/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Desktop/farquest/apps/react-auth/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"/Users/admin/Desktop/farquest/apps/react-auth/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 6, 53
"/Users/admin/Desktop/farquest/apps/react-auth/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Desktop/farquest/apps/react-auth/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 12, 77
"/Users/admin/Desktop/farquest/apps/react-auth/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 2, 30
"/Users/admin/Desktop/farquest/apps/react-auth/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/admin/Desktop/farquest/apps/react-auth/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"/Users/admin/Desktop/farquest/apps/react-auth/tsconfig.node.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/admin/Desktop/farquest/apps/react-auth/vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/admin/Desktop/farquest/apps/server/README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/admin/Desktop/farquest/apps/server/env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/admin/Desktop/farquest/apps/server/package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/admin/Desktop/farquest/apps/server/src/index.ts", "TypeScript", 0, 0, 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 489
"/Users/admin/Desktop/farquest/apps/server/tsconfig.json", "JSON with Comments", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 97
"/Users/admin/Desktop/farquest/biome.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/admin/Desktop/farquest/env.d.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 26
"/Users/admin/Desktop/farquest/lefthook.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/admin/Desktop/farquest/package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/admin/Desktop/farquest/packages/database/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/admin/Desktop/farquest/packages/database/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/admin/Desktop/farquest/packages/database/package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/admin/Desktop/farquest/packages/database/prisma/client/default.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Desktop/farquest/packages/database/prisma/client/default.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Desktop/farquest/packages/database/prisma/client/edge.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
